,Company,Symbol,Q3 Date,Q3 Price,Q2 Date,Q2 Price,Q1 Date,Q1 Price
19,Citizens Financial Group Inc,CFG,2020-06-30,24.844,2020-03-31,18.193,2019-12-31,38.8758
20,Extra Space Storage Inc,EXR,2020-06-30,92.37,2020-03-31,94.8443,2019-12-31,103.6322
21,Henry Schein Inc,HSIC,2020-06-27,,2020-03-28,,2019-12-28,
22,Discovery Communications Inc.,DISCK,2020-06-30,19.26,2020-03-31,17.54,2019-12-31,30.49
23,Vertex Pharmaceuticals Inc,VRTX,2020-06-30,290.31,2020-03-31,237.95,2019-12-31,218.95
24,Phillips 66,PSX,2020-06-30,70.8835,2020-03-31,52.2281,2019-12-31,107.3767
25,Chipotle Mexican Grill Inc,CMG,2020-06-30,1052.36,2020-03-31,654.4,2019-12-31,837.11
26,Cerner Corp,CERN,2020-06-30,68.55,2020-03-31,62.6495,2019-12-28,
27,NRG Energy Inc,NRG,2020-06-30,32.2714,2020-03-31,26.7844,2019-12-31,38.7412
28,Jacobs Engineering Group Inc,J,2020-06-26,82.3143,2020-03-27,74.5279,2019-12-27,88.9404
29,Kimco Realty Corp,KIM,2020-06-30,12.84,2020-03-31,9.39,2019-12-31,20.1103
30,Alphabet Inc,GOOGL,2020-06-30,1418.05,2020-03-31,1161.95,2019-12-31,1339.39
31,Genuine Parts Co,GPC,2020-09-30,95.169998,2020-06-30,86.2681,2020-03-31,66.2023
32,Comcast Corp,CMCSA,2020-06-30,38.98,2020-03-31,34.1769,2019-12-31,44.2059
33,Waters Corp,WAT,2020-06-27,233.65,2020-03-28,,2019-12-31,233.65
34,Robert Half International Inc,RHI,2020-06-30,52.5055,2020-03-31,37.2551,2019-12-31,61.9642
35,EOG Resources Inc,EOG,2020-06-30,50.2597,2020-03-31,35.3197,2019-12-31,82.0868
36,Pinnacle West Capital Corp,PNW,2020-06-30,72.5961,2020-03-31,74.3089,2019-12-31,87.4737
37,Vulcan Materials Co,VMC,2020-06-30,115.5471,2020-03-31,107.4263,2019-12-31,142.7586
38,Duke Energy Corp,DUK,2020-06-30,78.9757,2020-03-31,79.0317,2019-12-31,88.2655
39,CVS Health Corp,CVS,2020-06-30,64.4665,2020-03-31,58.3817,2019-12-31,72.6125
40,Lockheed Martin Corp,LMT,2020-09-27,,2020-06-28,,2020-03-29,
41,Boston Scientific Corp,BSX,2020-06-30,35.11,2020-03-31,32.63,2019-12-31,45.22
42,Texas Instruments Inc,TXN,2020-09-30,142.789993,2020-06-30,126.1019,2020-03-31,98.4772
43,Ameriprise Financial Inc,AMP,2020-06-30,149.0388,2020-03-31,100.9326,2019-12-31,163.1739
44,Rockwell Automation Inc,ROK,2020-06-30,212.0715,2020-03-31,149.4498,2019-12-31,199.6912
45,Nike Inc,NKE,2020-08-31,111.889999,2020-05-31,,2020-02-29,
46,Mcdonald's Corp,MCD,2020-06-30,183.397,2020-03-31,163.2995,2019-12-31,193.9458
47,Lowe`s Companies Inc,LOW,2020-07-31,148.91,2020-05-01,104.0613,2020-01-31,115.1268
48,Howmet Aerospace Inc,HWM,2020-06-30,15.85,2020-03-31,,2019-12-31,30.7503
49,Hershey Co,HSY,2020-06-28,144.6192,2020-03-29,,2019-12-31,144.6192
50,ConocoPhillips,COP,2020-06-30,41.5957,2020-03-31,30.1871,2019-12-31,63.288
51,CenterPoint Energy Inc,CNP,2020-06-30,18.5316,2020-03-31,15.2005,2019-12-31,26.5423
52,Becton Dickinson and Co,BDX,2020-06-30,239.27,2020-03-31,229.02,2019-12-31,270.1866
53,Autodesk Inc,ADSK,2020-07-31,236.43,2020-04-30,187.13,2020-01-31,196.85
54,American Airlines Group Inc,AAL,2020-09-30,12.29,2020-06-30,13.07,2020-03-31,12.19
55,Altria Group Inc,MO,2020-06-30,39.25,2020-03-31,37.8433,2019-12-31,47.5355
56,Steris plc,STE,2020-06-30,153.043,2020-03-31,139.2843,2019-12-31,151.3391
57,Rollins Inc,ROL,2020-06-30,42.3268,2020-03-31,36.0169,2019-12-31,32.9462
58,ABIOMED Inc,ABMD,2020-06-30,241.56,2020-03-31,145.16,2019-12-31,170.59
59,Charter Communications Inc,CHTR,2020-06-30,510.04,2020-03-31,436.31,2019-12-31,485.08
60,Verisk Analytics Inc,VRSK,2020-06-30,170.2,2020-03-31,139.1487,2019-12-31,148.8268
61,Under Armour Inc,UAA,2020-06-30,9.74,2020-03-31,9.21,2019-12-31,21.6
62,Accenture PLC,ACN,2020-08-31,239.929993,2020-05-31,,2020-02-29,
63,Marathon Petroleum Corp,MPC,2020-06-30,36.8191,2020-03-31,22.8795,2019-12-31,57.7807
64,Roper Technologies Inc,ROP,2020-06-30,387.7534,2020-03-31,310.8922,2019-12-31,352.686
65,Quanta Services Inc,PWR,2020-06-30,39.23,2020-03-31,31.638,2019-12-31,40.592
